"","usernames","start_date","account_age_days","number_of_games","games_per_day","elo_progress_day","n_friends_G","n_friends_US","grit","grit_friend_G","grit_friend_US","grit_not_friend_G","grit_not_friend_US"
"30","AalborgG","2017-05-16 14:34:01",2402,224,0.093255620316403,0.184429641965029,0,0,-0.97109896836915,NA,NA,-0.97109896836915,-0.97109896836915
"31","sillyboy2015","2023-01-22 16:09:12",324,366,1.12962962962963,-1.08641975308642,0,0,0.500265005715368,NA,NA,0.500265005715368,0.500265005715368
"32","Lakiba","2019-12-28 15:58:51",1284,893,0.695482866043614,0.300623052959502,0,2,0.15502102715076,NA,2.07944154167984,0.15502102715076,0.138181215407595
"33","Eroskovick","2020-02-28 18:49:38",1385,5189,3.74657039711191,-0.128519855595668,0,2,-0.102540315416022,NA,Inf,-0.102540315416022,-0.102254685967476
"34","Pat_Meminy","2020-08-19 16:40:26",1162,696,0.598967297762478,-0.135972461273666,1,2,0.217299270168781,NA,NA,0.209455045491387,0.244301776821556
"35","pauloc1253","2022-04-08 12:31:13",537,1528,2.84543761638734,0.487895716945996,1,0,0.194672789413473,-Inf,NA,0.195785738654017,0.194672789413473
"36","JPreston","2020-11-20 23:53:24",1119,2445,2.18498659517426,-0.252904378909741,1,5,0.0492658332596507,NA,-Inf,0.0523975718731666,0.0632091077648204
"37","Dama_Escarlata","2022-09-02 00:44:08",468,432,0.923076923076923,-0.0918803418803419,7,0,-0.407251420964539,1.40534255609059,NA,-0.762140052046896,-0.407251420964539
"38","Ant1245461","2021-03-07 15:21:18",778,942,1.2107969151671,0.517994858611825,1,1,0.0535448721799718,-Inf,-Inf,0.0270811102312102,0.0270811102312102
"39","Yesildur","2021-02-08 17:22:56",1045,2987,2.85837320574163,-0.133014354066986,1,1,0.00850083157515386,-0.541916210836022,-0.541916210836022,0.0300784109159674,0.0300784109159674
"40","Yrk_kaushik","2018-05-28 17:58:29",478,298,0.623430962343096,-1.15062761506276,0,0,-0.239179695814912,NA,NA,-0.239179695814912,-0.239179695814912
"41","Kostia_Toktonov","2022-01-16 06:00:01",703,2114,3.00711237553343,0.799431009957326,5,6,-0.055365205702342,0.105360515657826,0.117783035656383,-0.0401987083412582,-0.0412313298833795
"42","NOGUERALEX","2017-09-11 15:53:47",2157,230,0.106629578117756,0.244320815948076,0,0,-1.02919667356886,NA,NA,-1.02919667356886,-1.02919667356886
"43","Reis69","2021-10-02 18:22:47",752,278,0.36968085106383,-0.450797872340426,0,0,0.257482332588148,NA,NA,0.257482332588148,0.257482332588148
"44","Koller94","2016-12-22 22:01:40",2514,2189,0.870723945902944,0.207239459029435,0,1,0.200550656449328,NA,0.693147180559946,0.200550656449328,0.198677499159803
"45","PM69","2023-08-23 04:11:57",102,219,2.14705882352941,-1.24509803921569,0,0,0.129007285377901,NA,NA,0.129007285377901,0.129007285377901
"46","rileyanika","2023-02-23 13:08:54",300,220,0.733333333333333,-0.723333333333333,1,2,-0.384765068291019,Inf,0.233614851181505,-0.277894066085618,-0.260144507729178
"47","MhmdHsn","2016-09-17 09:49:09",2638,724,0.274450341167551,0.10235026535254,0,0,0.120897090333258,NA,NA,0.120897090333258,0.120897090333258
